description,nom_localisation,salarie_nombre,telephone
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
Édition de logiciels système et de réseau,"AUTARCIA,VILLENEUVE-D-ASCQ",10 à 19 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"MOBILIS DIGITAL,SAINGHIN-EN-MELANTOIS",250 à 499 salariés,0328520689
Activités des agences de publicité,"ADREXO,LIBERCOURT",200 à 249 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
Conseil en systèmes et logiciels informatiques,"TECHCREA SOLUTIONS,MARLY",0 salarié,Modifier ces informations
,,,
,,,
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ING-TEC,ROUBAIX",50 à 99 salariés,Modifier ces informations
Vente à distance sur catalogue spécialisé,"AFIBEL,VILLENEUVE-D-ASCQ",200 à 249 salariés,0320842147
Édition de jeux électroniques,"ATELIER 801,MARCQ-EN-BAROEUL",0 salarié,0320422530
Vente à distance sur catalogue spécialisé,"ETS JEAN NICOLAS DUCATILLON,CYSOING",100 à 199 salariés,0320843865
Conseil en systèmes et logiciels informatiques,"GALAX-IT,WASQUEHAL",0 salarié,https://galax-it.fr/
Conseil pour les affaires et autres conseils de gestion,"AMCF & ASSOCIES,WASQUEHAL",0 salarié,Modifier ces informations
Programmation informatique,"OPTI MIX,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ABSYS CYBORG,VILLENEUVE-D-ASCQ",50 à 99 salariés,0359575757
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Programmation informatique,"COMETIK,LILLE",0 salarié,0320066119
Conseil en systèmes et logiciels informatiques,"SCALAIR,HEM",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"PHARMAVISION,LOOS",50 à 99 salariés,0320181190
Formation continue d'adultes,"CENTRE EUROPEEN DE FORMATION,VILLENEUVE-D-ASCQ",250 à 499 salariés,0366060130
Conseil en systèmes et logiciels informatiques,"NETIM,LILLE",10 à 19 salariés,0972113352
